
Course,Instructor,Length,Meet-block-policy,Meet-Instructor-Preference,Days,Start,Exempted,Notes,
LING 200,ferjan-ramirez,50,y,y,M W F,0930,1020,0,
LING 210,mcgarrity,50,y,y,M W F,1330,1420,0,
LING 233,evans,50,y,y,M W F,0830,0920,0,
LING 432/532,wassink,110,y,y,M W,1330,1520,0,
LING 433/533,evans,110,y,y,M W,1330,1520,0,
LING 441/541,ferjan-ramirez,110,y,y,M W,1030,1220,0,
LING 450/550,wassink,110,y,y,M W,0830,1020,0,
LING 461,hedding,110,y,y,T R,0830,1020,0,
LING 478/578,ogihara,110,y,y,T R,1030,1220,0,
LING 507,hedding,110,y,y,T R,1230,1420,0,
LING 566,bender,80,y,y,T R,1000,1120,0,
LING 580-CIT,citko,140,-,y,T,1530,1750,0,
LING 580-OGI,ogihara,140,-,y,R,1530,1750,0,
LING 580-WRI,wright,140,-,y,T,1530,1750,0,
LING 580-TBA,tba,140,-,-,M,1530,1750,0,
LING 599A,lingcolloq,140,-,-,F,1530,1750,0,
LING 599B,proseminar,50,-,-,M,1430,1520,0,
,,,,,,,,,
LING 570,xia,80,y,y,T R,1300,1420,1,
LING 571,steinert-threlkeld,80,y,y,M W,1300,1420,1,
LING 575-BEN,bender,140,-,y,R,1530,1750,1,
,,,,,,,,,
LING 200AA,ta1,50,y,-,T R,1030,1120,0,
LING 200AB,ta1,50,y,-,T R,0830,0920,0,
LING 200AC,ta2,50,y,-,T R,1230,1320,0,
LING 200AD,ta2,50,y,-,T R,0930,1020,0,
LING 200AE,ta3,50,-,-,T R,1430,1520,0,
LING 200AF,ta3,50,y,-,T R,1130,1220,0,
LING 200AG,ta4,50,y,-,T R,1230,1320,0,
LING 200AH,ta4,50,y,-,T R,1130,1220,0,
LING 233AA,ta5,50,y,-,R,1330,1420,0,
LING 233AD,ta5,50,y,-,R,1030,1120,0,
LING 233AE,ta5,50,y,-,R,1230,1320,0,
LING 233AF,ta6,50,y,-,R,0830,0920,0,
LING 233AG,ta6,50,y,-,R,1030,1120,0,
LING 233AH,ta6,50,-,-,R,1430,1520,0,
LING 450AA,ta7,50,y,-,R,1230,1320,0,
